Density Matrices

state: 0.0     eng: 0.0     s(s+1): 3.6256     ms: 1.4496
0.002993+0.002808j	0.988475	 -0.000107+0.000069j	0.002243-0.006564j	-0.000046-0.000068j	-0.009486+0.004570j	0.000021-0.000234j	-0.006457-0.042507j	0.000049-0.000142j	0.000490+0.000721j	0.018898-0.007400j	-0.023748-0.011906j	-0.000045-0.000880j	0.000053-0.000632j	
-0.000139-0.000105j	-0.000107-0.000069j	0.978870	 -0.000030-0.000016j	-0.016077+0.000950j	-0.000195-0.000156j	0.004024+0.007015j	0.001371+0.000149j	0.043901-0.026997j	-0.009122-0.047082j	-0.001559+0.000794j	0.001058-0.000884j	-0.024930+0.001244j	0.004391-0.061831j	
-0.008647-0.000683j	0.002243+0.006564j	-0.000030+0.000016j	0.982826	 0.000045+0.000074j	-0.000703-0.011921j	0.000016-0.000038j	-0.000619+0.004219j	0.000433+0.000457j	-0.000759+0.000296j	0.009344+0.005321j	-0.011823+0.056210j	0.000055+0.000748j	-0.000320+0.000015j	
-0.000058-0.000613j	-0.000046+0.000068j	-0.016077-0.000950j	0.000045-0.000074j	0.970162	 0.000096+0.000035j	0.001063+0.007137j	0.000257+0.000131j	0.015698-0.003790j	0.017160+0.030431j	-0.003900+0.000407j	0.000704-0.000433j	0.043750-0.016161j	0.002890-0.103873j	
0.001433+0.008115j	-0.009486-0.004570j	-0.000195+0.000156j	-0.000703+0.011921j	0.000096-0.000035j	0.963988	 0.000106-0.000221j	0.009067-0.084212j	0.001734-0.000781j	0.000699+0.001993j	0.023963-0.020541j	0.015332+0.008666j	0.001181-0.001172j	-0.000129-0.000170j	
0.000464-0.000011j	0.000021+0.000234j	0.004024-0.007015j	0.000016+0.000038j	0.001063-0.007137j	0.000106+0.000221j	0.962585	 -0.003482+0.000975j	0.019576+0.136472j	0.005024+0.004771j	-0.000557-0.003380j	0.001245+0.002530j	-0.014340+0.060956j	-0.001135+0.014353j	
-0.019778-0.024840j	-0.006457+0.042507j	0.001371-0.000149j	-0.000619-0.004219j	0.000257-0.000131j	0.009067+0.084212j	-0.003482-0.000975j	0.711684	 -0.003229+0.007933j	0.006976-0.000851j	-0.085091+0.007750j	-0.036536+0.126115j	-0.004849-0.000091j	-0.002272+0.003085j	
-0.000190+0.001051j	0.000049+0.000142j	0.043901+0.026997j	0.000433-0.000457j	0.015698+0.003790j	0.001734+0.000781j	0.019576-0.136472j	-0.003229-0.007933j	0.408055	 -0.036725+0.178750j	0.010543+0.001208j	-0.010836+0.001862j	-0.059140-0.060569j	-0.050132-0.035347j	
-0.001114-0.000371j	0.000490-0.000721j	-0.009122+0.047082j	-0.000759-0.000296j	0.017160-0.030431j	0.000699-0.001993j	0.005024-0.004771j	0.006976+0.000851j	-0.036725-0.178750j	0.587275	 0.001759+0.002063j	-0.003509+0.000687j	-0.008663+0.350352j	0.082887+0.033216j	
0.006346-0.111296j	0.018898+0.007400j	-0.001559-0.000794j	0.009344-0.005321j	-0.003900-0.000407j	0.023963+0.020541j	-0.000557+0.003380j	-0.085091-0.007750j	0.010543-0.001208j	0.001759-0.002063j	0.697679	 -0.179916+0.005028j	0.004823+0.001305j	0.002349-0.007599j	
